color_hex,thickness_nm
#4A148C,0.7
#5C1A9E,1.4
#6A1FB0,2.1
#7B27C0,3.0
#8E3FCC,4.5
#9F5BD4,6.0
#AE6FDB,7.5
#BA86DF,9.0
#C69BE3,10.5
#9E8BBF,12.0
#AA96C6,14.0
#B5A3CE,16.0
#C0B0D5,18.5
#C9BADB,21.0
#D3C7E1,24.0
#BBA8C8,27.5
#C5B3CE,30.0
#CFC0D6,33.0
#D8CCDD,36.5
#C9B0C0,40.0
#D3BCC8,45.0
#DCC8D1,50.0
#E3D0D8,55.0
#E8D8DF,60.0
#EDDFE5,65.0
#DED0D4,70.0
#E5D8DB,80.0
#ECDFE1,90.0
#F0E5E6,100.0
#F3EAEA,110.0
#F5EDED,120.0
#F7F0F0,130.0
#F8F2F2,140.0
#FAF5F4,150.0
#FBF6F6,160.0
#FCF8F7,170.0
#FDF9F9,180.0
#FEFAFA,190.0
#FEFBFB,200.0
