color_hex,thickness_nm
#6A0DAD,0.7
#7B1FA2,1.4
#8E24AA,2.1
#9C27B0,3.0
#AB47BC,4.5
#BA68C8,6.0
#CE93D8,7.5
#D1A3DB,9.0
#D7B4DE,10.5
#B39DDB,12.0
#B8A9D4,14.0
#C5B3D9,16.0
#CFB9DD,18.5
#D6C4E0,21.0
#DDD0E4,24.0
#C8B0C6,27.5
#D0BBCC,30.0
#D9C6D3,33.0
#E1D0DA,36.5
#D4B8C8,40.0
#DDC4D0,45.0
#E5CED8,50.0
#EAD6DE,55.0
#EEDDE4,60.0
#F1E3E9,65.0
#E0CDD2,70.0
#E7D5D9,80.0
#ECDCDF,90.0
#F0E2E4,100.0
#F3E8E9,110.0
#F5EBED,120.0
#F7EFEF,130.0
#F8F1F1,140.0
#FAF4F3,150.0
#FBF6F5,160.0
#FCF7F7,170.0
#FDF9F8,180.0
#FDFAF9,190.0
#FEFBFA,200.0
